Tweet,label
"@Max_Kellerman  it also helps that the majority of NFL coaching is inept. Some of Bill O'Brien's play calling was wow, ! #GOPATS",anger
My roommate: it's okay that we can't spell because we have autocorrect. #terrible #firstworldprobs,anger
"Rooneys fucking untouchable isn't he? Been fucking dreadful again, depay has looked decent(ish)tonight",anger
@BossUpJaee but your pussy was weak from what I heard so stfu up to me bitch . You got to threaten him that your pregnant .,anger
S/O to the girl that just hit my car...not only did she get lucky w/ no scratch but also from being spared the wrath of sleep deprived Kait🙃,anger
@bt_uk broadband is shocking regretting signing up now #angry #shouldofgonewithvirgin,anger
People you need to look up the definition of protest. What you are doing is not protesting is called vandalism. #angry #stop,anger
@BitchestheCat Look at those teef! #growl,anger
Star trek online has a update to download oh fuming yay,anger
i cant stop. i finished - dejected. luckily no one is in the bathroom. so i go to a stall and wait until my pants are dry.,anger
@NHLexpertpicks @usahockey USA was embarrassing to watch. When was the last time you guys won a game..? #horrible #joke,anger
Your glee filled Normy dry humping of the most recent high profile celebrity break up is pathetic &amp; all that is wrong with the world today.,anger
@zorefx you guys will see what i did in the next video but its fucking horrid,anger
What a fucking muppet.  @jRwild1  #stalker.,anger
My cat is bloody lucky the RSPCA weren't open at 3am last night!!! #fuming 😡🐱,anger
Autocorrect changes ''em' to 'me' which I resent greatly,anger
"I mean I'm not done watching the pilot, but it's nice to see a group of actors perform without story lines dripping relentless nihilism.",anger
@WaterboysAS I would never strategically vote for someone I don't agree with. A lot of the Clinton vote based on fear and negativity.,anger
@Jen_ny69 People will always get offended everyone's situation is different! Just because we have kids doesn't mean we have to settle,anger
@Aliki111 Haters!!! You are low in self worth. Self righteous in your delusions. You cower at the thought of change. Change is inevitable.,anger
All the young people are so bitter about how the older contestants probably know how to make Bakewell Tarts 😂 #GBBO,anger
@TamraBarney @ShannonBeador @RHOC_KellyDodd Tamra would F her up if she swung on Tamra\nKelly is a piece of 💩 #needstobeadmitted #bully,anger
"He accusd India of HR violations in Kashmir BUT refusd to name India's role in fomenting terror in Pakistan through TTP, BLA &amp; MQM.shame #ZH",anger
@Kristiann1125 lol wow i was gonna say really?! haha have you seen chris or nah? you dont even snap me anymore dude!,anger
"im also definitely still bitter about the yellow ranger not being asian, but asian representation in hollywood is essentially a shrug anyway",anger
@mas_critical The irony is that those protesting about this kind of stuff are the Orwellian nightmare they think they’re fighting against.,anger
@loismackey_ @Dory nah way that's horrible,anger
@MaryamNSharif I think just becz u have so much terror in pak nd urself being  a leader u forgot d difference btw a leader nd terrorist !,anger
Puzzle investing opening portland feodal population is correlative straight a snorting infuriate: XLzjYhG,anger
Brb going to sulk in bed until Friday,anger
Weak people revenge. Strong people forgive. Intelligent people ignore.,anger
I have a rage rage ep 2 coming out soon I'll keep you posted on it #YouTube #youtubegaming #rage,anger
@Bridget_Delia @originalaubs omg that's terrible,anger
"Jorge deserves it, honestly. He's weak.  #90dayfiance",anger
@lemonlover666 'shit' doesn't even begin to describe these fiery little demons straight from hell 🌝🌚 ;),anger
It's way too hard not to get discouraged.,anger
"Interview preparation, I hate talking about myself, one dull subject matter! #yawnoff",anger
"It'd probably be useful to more than women, but I'm dealing with re-reading an article about a woman being harassed on the subway. #concern",anger
@JaredWyand Maybe if it was transgender the media would cover it #outrage,anger
Romero is fucking dreadful like seriously my 11 month old is better than him.,anger
Since the 'update' my @iPhone loses power nearly 40% faster. ,anger
"@KatherineArabis It’s taken for granted, while the misogyny in the air is treated as normal — and any angry response to it as pathological.",anger
"Anger, resentment, and hatred are the destroyer of your fortune today.",anger
@SkyUK what a joke!! Cut our internet off early 'by mistake' and then don't reinstate it when we no longer need an engineer 😡 ,anger
