Tweet,label
Whatever you decide to do make sure it makes you #happy.,"joy,"
"@Max_Kellerman  it also helps that the majority of NFL coaching is inept. Some of Bill O'Brien's play calling was wow, ! #GOPATS","joy,disgust,anger"
Accept the challenges so that you can literally even feel the exhilaration of victory.' -- George S. Patton 🐶,"joy,"
My roommate: it's okay that we can't spell because we have autocorrect. #terrible #firstworldprobs,"disgust,anger"
No but that's so cute. Atsu was probably shy about photos before but cherry helped her out uwu,"joy,"
"Rooneys fucking untouchable isn't he? Been fucking dreadful again, depay has looked decent(ish)tonight","disgust,anger"
it's pretty depressing when u hit pan on ur favourite highlighter,"disgust,sadness,"
@BossUpJaee but your pussy was weak from what I heard so stfu up to me bitch . You got to threaten him that your pregnant .,"disgust,anger"
Making that yearly transition from excited and hopeful college returner to sick and exhausted pessimist. #college,"disgust,sadness,"
Tiller and breezy should do a collab album. Rapping and singing prolly be fire,"joy,"
S/O to the girl that just hit my car...not only did she get lucky w/ no scratch but also from being spared the wrath of sleep deprived Kait🙃,"sadness,anger"
@bt_uk broadband is shocking regretting signing up now #angry #shouldofgonewithvirgin,"disgust,anger"
People you need to look up the definition of protest. What you are doing is not protesting is called vandalism. #angry #stop,"disgust,sadness,anger"
@BitchestheCat Look at those teef! #growl,"fear,disgust,anger"
Star trek online has a update to download oh fuming yay,"joy,disgust,sadness,anger"
"The bitter the battle, the sweeter the victory...","joy,"
i cant stop. i finished - dejected. luckily no one is in the bathroom. so i go to a stall and wait until my pants are dry.,"disgust,sadness,anger"
@NHLexpertpicks @usahockey USA was embarrassing to watch. When was the last time you guys won a game..? #horrible #joke,"disgust,anger"
#NewYork: Several #Baloch &amp; Indian activists hold demonstrations outside @UN headquarters demanding Pak to stop exporting #terror into India,"fear,sadness,"
Awareness of time is awareness of time lost. #awareness #time ,"joy,"
Your glee filled Normy dry humping of the most recent high profile celebrity break up is pathetic &amp; all that is wrong with the world today.,"disgust,anger"
@zorefx you guys will see what i did in the next video but its fucking horrid,"fear,disgust,sadness,anger"
What a fucking muppet.  @jRwild1  #stalker.,"disgust,anger"
@adamrodricks I like your optimism!,"joy,"
My cat is bloody lucky the RSPCA weren't open at 3am last night!!! #fuming 😡🐱,"joy,disgust,anger"
@FaithHill I remember it well #happy #afraid #Positive,"fear,joy,"
Autocorrect changes ''em' to 'me' which I resent greatly,"disgust,anger"
"I mean I'm not done watching the pilot, but it's nice to see a group of actors perform without story lines dripping relentless nihilism.","joy,disgust,anger"
@WaterboysAS I would never strategically vote for someone I don't agree with. A lot of the Clinton vote based on fear and negativity.,"fear,disgust,anger"
@RogueCoder250 We are in so much trouble!! I don't think the Rev will see the funny side of our project. ,"fear,joy,sadness,"
@Jen_ny69 People will always get offended everyone's situation is different! Just because we have kids doesn't mean we have to settle,"disgust,sadness,anger"
You have to find a way to top yourself. #glee,"joy,"
@Aliki111 Haters!!! You are low in self worth. Self righteous in your delusions. You cower at the thought of change. Change is inevitable.,"disgust,anger"
#smile every morning to a positive head start with your #clients relations,"joy,"
@imtarakate Uggh that's really horrible. You're not a bad person by any stretch of the imagination. I hope this person realizes that.,"fear,disgust,"
All the young people are so bitter about how the older contestants probably know how to make Bakewell Tarts 😂 #GBBO,"joy,disgust,sadness,anger"
Living with #depression doesn't mean you must be defeated by it\nevery day's a new day and yesterday doesn't decide what today looks like :-),"sadness,"
"In wake of fresh #terror threat and sounding of alert in #Mumbai, praying for safety &amp; security of everybody in the city #Maharashtra #news","fear,"
@TamraBarney @ShannonBeador @RHOC_KellyDodd Tamra would F her up if she swung on Tamra\nKelly is a piece of 💩 #needstobeadmitted #bully,"disgust,anger"
"He accusd India of HR violations in Kashmir BUT refusd to name India's role in fomenting terror in Pakistan through TTP, BLA &amp; MQM.shame #ZH","surprise,disgust,sadness,anger"
About 7 weeks till I can pick up my camera again. Though I think there is a group cemetery shoot in october I can make! #photography ,"joy,"
@morgannbroom yes ❤️❤️ &amp; cheering homecoming game!,"joy,"
I was so shy freshman year this guy introduced himself to me by asking if I spoke any English,"joy,sadness,"
