Tweet,label
"@Max_Kellerman  it also helps that the majority of NFL coaching is inept. Some of Bill O'Brien's play calling was wow, ! #GOPATS",disgust
My roommate: it's okay that we can't spell because we have autocorrect. #terrible #firstworldprobs,disgust
"Rooneys fucking untouchable isn't he? Been fucking dreadful again, depay has looked decent(ish)tonight",disgust
it's pretty depressing when u hit pan on ur favourite highlighter,disgust
@BossUpJaee but your pussy was weak from what I heard so stfu up to me bitch . You got to threaten him that your pregnant .,disgust
Making that yearly transition from excited and hopeful college returner to sick and exhausted pessimist. #college,disgust
@bt_uk broadband is shocking regretting signing up now #angry #shouldofgonewithvirgin,disgust
People you need to look up the definition of protest. What you are doing is not protesting is called vandalism. #angry #stop,disgust
@BitchestheCat Look at those teef! #growl,disgust
Star trek online has a update to download oh fuming yay,disgust
i cant stop. i finished - dejected. luckily no one is in the bathroom. so i go to a stall and wait until my pants are dry.,disgust
@NHLexpertpicks @usahockey USA was embarrassing to watch. When was the last time you guys won a game..? #horrible #joke,disgust
Your glee filled Normy dry humping of the most recent high profile celebrity break up is pathetic &amp; all that is wrong with the world today.,disgust
@zorefx you guys will see what i did in the next video but its fucking horrid,disgust
What a fucking muppet.  @jRwild1  #stalker.,disgust
My cat is bloody lucky the RSPCA weren't open at 3am last night!!! #fuming 😡🐱,disgust
Autocorrect changes ''em' to 'me' which I resent greatly,disgust
"I mean I'm not done watching the pilot, but it's nice to see a group of actors perform without story lines dripping relentless nihilism.",disgust
@WaterboysAS I would never strategically vote for someone I don't agree with. A lot of the Clinton vote based on fear and negativity.,disgust
@Jen_ny69 People will always get offended everyone's situation is different! Just because we have kids doesn't mean we have to settle,disgust
@Aliki111 Haters!!! You are low in self worth. Self righteous in your delusions. You cower at the thought of change. Change is inevitable.,disgust
@imtarakate Uggh that's really horrible. You're not a bad person by any stretch of the imagination. I hope this person realizes that.,disgust
All the young people are so bitter about how the older contestants probably know how to make Bakewell Tarts 😂 #GBBO,disgust
@TamraBarney @ShannonBeador @RHOC_KellyDodd Tamra would F her up if she swung on Tamra\nKelly is a piece of 💩 #needstobeadmitted #bully,disgust
"He accusd India of HR violations in Kashmir BUT refusd to name India's role in fomenting terror in Pakistan through TTP, BLA &amp; MQM.shame #ZH",disgust
@Kristiann1125 lol wow i was gonna say really?! haha have you seen chris or nah? you dont even snap me anymore dude!,disgust
"im also definitely still bitter about the yellow ranger not being asian, but asian representation in hollywood is essentially a shrug anyway",disgust
@mas_critical The irony is that those protesting about this kind of stuff are the Orwellian nightmare they think they’re fighting against.,disgust
@loismackey_ @Dory nah way that's horrible,disgust
@MaryamNSharif I think just becz u have so much terror in pak nd urself being  a leader u forgot d difference btw a leader nd terrorist !,disgust
Brb going to sulk in bed until Friday,disgust
@Bridget_Delia @originalaubs omg that's terrible,disgust
"Jorge deserves it, honestly. He's weak.  #90dayfiance",disgust
@lemonlover666 'shit' doesn't even begin to describe these fiery little demons straight from hell 🌝🌚 ;),disgust
"Interview preparation, I hate talking about myself, one dull subject matter! #yawnoff",disgust
"It'd probably be useful to more than women, but I'm dealing with re-reading an article about a woman being harassed on the subway. #concern",disgust
Romero is fucking dreadful like seriously my 11 month old is better than him.,disgust
Since the 'update' my @iPhone loses power nearly 40% faster. ,disgust
"@KatherineArabis It’s taken for granted, while the misogyny in the air is treated as normal — and any angry response to it as pathological.",disgust
@SkyUK what a joke!! Cut our internet off early 'by mistake' and then don't reinstate it when we no longer need an engineer 😡 ,disgust
"@Montel_Williams If this ban goes through, it will harm so many people, disabled veterans, people who have #chronicpain,  #iamkratom",disgust
I'm so bored and fat and full and ridiculously overweight and rolls galore ,disgust
"@happyandbashful Flirt, simper, pout, repeat. Yuck.",disgust
"Trumpism likewise rests on a bed of racial resentment that was made knowingly and intentionally, long before Trump got into politics.",disgust
There's this Bpharm4 guy Eish that guy brings anger into my life. When I see him nje like darkness fills me @RamatsobaneM will know,disgust
Soooo badly want to dye my hair dark but have never been dark before soooo torn 😭😭😭,disgust
@DeltaAssist Tried 2 get earlier flt 2day  @BWI Turnd away bcuz it was 2 late Then agent let other pas on #silvereliteleftbehind ,disgust
@VectoneMobileUK The worst customer service and lack of professionalism from this service provider! #phoneprovider #badbusiness ,disgust
I had really strange and awful dreams last night. I'd didn't even eat cheese before bed  #lovemysleep,disgust
Brad Pitt being investigated for child abuse?! this all just got really #dark,disgust
@JasonMillerinDC @realDonaldTrump Prudence suggests that a 8+% bump over 2-3 weeks should be viewed with SKEPTICISM. Media/HRC axis #angry,disgust
"@DDogsScout 'Oh!' Almost with odd cheerfulness, Big Boss offers: 'Muzzle flash blinding. Accidental by the guy who became my best friend.'",disgust
Need a new outlet for #rage,disgust
@PatBlanchfield so you mean “like Uber but for despair for someone other than the driver',disgust
"In my room 101 would go  Russell Howard,Tom Odell,Michael Buble!!! #pants #nogood ",disgust
Gaaaaaaaad! Should have stayed in London!,disgust
"@GambinoDeeJay @Linda76Graham @mikeeshy \n\nAnd also, trying to find it on Youtube is a fucking nightmare.",disgust
@Bungie spent over 2 fucking hours and still can't get that dam SIVA fragment on Fellwinters peak mountain ,disgust
People who go the speed limit irritate me,disgust
Last @LGCanada product I buy - I promise! Absolutely  #CustomerService,disgust
@DaniQays @AJENews ohh.. so here comes sense from terror supporting stone pelting vandalizing ppl who gather b4 protests to announce ...,disgust
@jamiesmart Huh! It's always my fault isn't it &gt;:( #huff #sulk,disgust
@StarklyDark 'I know you trusted me.' His words were soft as he ignored the anger and focused on the hurt beneath. 'I know I screwed up.' --,disgust
My fav #movies are #horror but they don't make them like they used too. Haven't seen a great one in years,disgust
"James: no 500k, no 50k, no 25k, no 10k. You fucked up. #bb18 #bitter  #shouldofVotedforNicole",disgust
I'd like to bridge the divide between Right and Left Twitter and say that the new Tweet truncating thing is fucking awful.,disgust
@ATrumping hahahahahaha!! Oh gosh. You are hilarious. A black man trying to keep racism alive. Get out of here man.,disgust
Chris ate all my mac n cheese so imma eat all his taffy #revenge,disgust
@BuzzFeed so this houses will get into my instestines and scare my poop and I'll shit my pants?,disgust
@MatherFamilys @SDICenter @CAllstadt \n\ndo REDNECKS intellectually intimidate you and force you to be their dancing clown?,disgust
"Sometimes I like to talk about my sadness.  Other times, I just want to be distracted by friends, laughter, shopping, eating...  \n\n#MHChat",disgust
Noooooo @GBBOUK without #MaryBerry will be #awful #endofanera going 2b so #lost @Channel4 have bought a #lameduck there #notallaboutthemoney,disgust
"@Cpt_SRogers_\n'Well it can go one of two ways. You either get over it and accept it, because it's not going to change, or you mope about --",disgust
"Although this war will be under the guise of combating terrorism it will in fact be a war against poverty, ignorance and just stupidity.",disgust
God we need a new goal keeper! They’re both horrific.,disgust
HUGE CONGRATULATIONS TO NICOLE WINNING BIG BROTHER 18! @BBNicole #BB18 sorry not sorry #bitter #bbmichelle,disgust
Nothing worse than an uber driver that can't drive. #awful,disgust
"Leave it on there, rule,nimber 1 of carpet cleaning!!! #furious #worsethananatomicbomb #accidentlyspillbeeronthecarpet",disgust
@RIPPoohSavage u know ion play that shit bout my weary brother,disgust
@Gielnorian @HedonismGaming cmode grimrail made me want to eat angry bees,disgust
"@Casper10666 I assure you there is no laughter, but increasing anger at the costs, and arrogance of Westminster.",disgust
Why are people even debating on race inequality within our justice system like it's non existent? They're just trying to aggravate us.,disgust
There's a certain hilarity in people angry at protests against the national anthem or the flag when these acts are covered by 1st Amendment.,disgust
*Sigh* #depression #saddness #afterellen #shitsucks,disgust
@Evan_McMullin He's spent his campaign dividing people up and pitting them against each other. His message is to fear and resent the 'other',disgust
