Tweet,label
@BitchestheCat Look at those teef! #growl,fear
#NewYork: Several #Baloch &amp; Indian activists hold demonstrations outside @UN headquarters demanding Pak to stop exporting #terror into India,fear
@zorefx you guys will see what i did in the next video but its fucking horrid,fear
@FaithHill I remember it well #happy #afraid #Positive,fear
@WaterboysAS I would never strategically vote for someone I don't agree with. A lot of the Clinton vote based on fear and negativity.,fear
@RogueCoder250 We are in so much trouble!! I don't think the Rev will see the funny side of our project. ,fear
@imtarakate Uggh that's really horrible. You're not a bad person by any stretch of the imagination. I hope this person realizes that.,fear
"In wake of fresh #terror threat and sounding of alert in #Mumbai, praying for safety &amp; security of everybody in the city #Maharashtra #news",fear
@MaryamNSharif I think just becz u have so much terror in pak nd urself being  a leader u forgot d difference btw a leader nd terrorist !,fear
In dire need of a worship session to just let go of everything,fear
@Bridget_Delia @originalaubs omg that's terrible,fear
"tomorrow will be the last episode of despair arc, so much shit is gonna happen i'm not emotionally prepared...",fear
"Interview preparation, I hate talking about myself, one dull subject matter! #yawnoff",fear
"It'd probably be useful to more than women, but I'm dealing with re-reading an article about a woman being harassed on the subway. #concern",fear
Nor hell a fury like a woman scorned -- William Congreve,fear
"Val got a little too big for her hiking boots with that bakewell, the little terror #GBBO",fear
I had really strange and awful dreams last night. I'd didn't even eat cheese before bed  #lovemysleep,fear
@andreasarahco do you actually heely on campus bc this should scare you,fear
"#PeopleLikeMeBecause they see the happy exterior, not the hopelessness I sometimes feel inside. #depression  #anxietyprobz",fear
@DaniQays @AJENews ohh.. so here comes sense from terror supporting stone pelting vandalizing ppl who gather b4 protests to announce ...,fear
@HMiglino @CParks777 @Coco_Wms @bodyfit67 @TruthEqualsFact @politicususa I have never been more anxious of a election in my life‼️ ,fear
@AzyraiZelo I am shy xD,fear
@BuzzFeed so this houses will get into my instestines and scare my poop and I'll shit my pants?,fear
That old lady is cray cray #scared #BellaIsSoCute #awe #Empire,fear
hi my names anxiety and i have shaun,fear
"#PeopleLikeMeBecause they see the happy exterior, not the hopelessness I sometimes feel inside. #depression #anxiety #anxietyprobz",fear
@maggyvaneijk Old age?! No hope for the rest of us. Destined to become deatheaters by 50 #nightmare,fear
"Everybody's worried about stopping #terrorism. Well, there's a really easy way: stop participating in it. -  Noam Chomsky",fear
I am worried that she felt safe. #unhappy,fear
"@Casper10666 I assure you there is no laughter, but increasing anger at the costs, and arrogance of Westminster.",fear
@Evan_McMullin He's spent his campaign dividing people up and pitting them against each other. His message is to fear and resent the 'other',fear
"@LaneWoolery @FFKazman experience all plays a role in that, it's education and preparedness not fear",fear
in my dream....They were trying to steal my kidney!!!  #blackmarket #whydidiwatchthat,fear
i'm... nervous about this test rip,fear
"Don't be #afraid of the space between your #dreams and #reality. If you can #dream it, you can #make it so",fear
@CesarSampao @thisisbolton don't get me started on town centre. Used to go every week.... not been for 18 months #horrible,fear
Hope I sleep - no nightmare of Bakewell tarts #yuk  #GBBO,fear
New play through tonight! Pretty much a blind run. Only played the game once and maybe got 2 levels it. #Rage #horror,fear
@shae_caitlin ur road rage gives me anxiety.,fear
@KennyCoble @Rosie these horrific situations will only get worse if trump is elected. vote Hillary.,fear
Are there any #horror sites that would be interested in my writing a guest article/review? Been really craving a literary outlet lately.,fear
@Morning_Joe @JoeNBC @mikebarnicle Trump says the refugee situation 'is not just about terrorism it's about quality of life.' Take note.,fear
@TeaPartyOrg Hes right when the Civil war starts it will be wall to wall terrorism and i don't fancy the Muzzy's chances,fear
When my 4yo is gone I blast gothcore music. She has #anxiety &amp; I can't listen 2 it around her bcuz it's 'too spooky'. *sigh* #momlife,fear
@LeafyIsHere will showing off biceps scare you?,fear
courage the cowardly dog is like american horror story for kids,fear
and I'm up from a dream where I said something really retarded on twitter and it got like 10000 retweets #nightmare,fear
can't believe Mint fest is two days away and i hate my outfit 😩😩🙈 #nightmare,fear
"Glasgow Girls' is a real tonic @stratfordeast:an eclectic range of songs, barbed humour and eloquence in its fiery rage against injustice",fear
Why is it so windy? So glad I didn't ride my bike. #fear #wind,fear
".@marcorubio mentions his high school-aged daughters, 'should be a joyous occasion' when they go to college, not bring 'fear,' 'trepidation'",fear
@ScmCIafIin 'Don't you know how nervous I was to see you?',fear
@coopah Worst than going to the morgue to do a positive ID. #horrible Reuters,fear
PASTOR - 15 FEET away from shooting victim during protest says he is skeptical of official story.  #CharlotteProtest #CharlotteRiot,fear
What we fear doing most is usually what we most need to do.' ~Tim Ferriss #inspiring #inspired #motivation #fear #success #hustle,fear
Some of these fb comments and/or tweets should make some people realize why black Americans feel the way they do 😳 #terrible,fear
Every day I think my #house 🏡 is #burning 🔥 but it's always just my neighbor burning their #toast! 😷😡🍞,fear
@ikhras @benglaze Amal Clooney should try to prosecute  #Bush/ #Blair for #war crimes that turned our World upside down&amp;created #terrorism,fear
Danish pastries...oh know my nightmare! Old boots is a good description #GBBO,fear
Wish I could convince the rest of my children to go to their fucking preschool and elementary schools with fear of gun violence.,fear
induction day tomorrow for pizza express #nervous,fear
"When something makes you excited, terrified, thrilled, nervous, elated &amp; like you've been kicked in the guts all at once. Need word for that",fear
"Honestly don't give af who wins out of us and pine, I'm just worried about getting drunk Saturday night😂",fear
@siomo @NEWSTALK1010 20 says he gets reelected.....  #be #afraid,fear
@SeanUnfiltered Texans are scared of this bunch! ,fear
Pakistan continues to treat #terror as a matter of state policy says @MEAIndia. #UriAttack,fear
Now #India is #afraid of #bad .,fear
I'm scared that my coworkers are going to submit me to one of those 'wardrobe makeover' shows.  #fashion,fear
me: are you guys dating yet #trans #nervous #blowjobs #TFB dating in mack north ohio Bewdley,fear
"#COINCIDENCE??? When you turn on the TV, etc.&amp; listen &amp; watch, the objective is to #CaptureYourMind with #fear &amp; #depression. #FindGODNow!!!",fear
if Man U lose i may actually have a nervous breakdown,fear
@ParamjitGarewal way to go #London. Nice job electing a #muslim #jihadist for mayor. Good luck with your future #terror attacks #sadiqkhan,fear
10 page script due Friday for class. Who said I could do this MFA thing?  #GradSchoolProblems #someonetelltinafeytohireme,fear
@ntfc watched the cobblers loads this season how is gorre a pro footballler terrible,fear
"Half past midnight, loud banging on our front door, been told about new rape cases in Edinburgh today  #nosleep",fear
there’s shaytan in this room wallahi its been dark all the time now the lamp is on!! omg shaytan,fear
"If you think you're good to go already, don't worry about it.",fear
"Have any of you ever stayed in hostels overseas? My only frame of reference is the movie Hostel, and we all know how that went.",fear
That feeling you get when you know the information but scared you might do bad on a test #collegelife #nervous 😥😥,fear
Watching It Follows.  This is a super freaky movie.  #horror #scary,fear
@AHSFX thanks Ryan &amp; Brad for scary the shit out of us in the first episode. Don't think my heart will make it through the s6 ,fear
@Budget  car rental you have made realize why I always use @nationalcares!!!!  What a #nightmare!!  #disgusted,fear
@BigBossPeltonen \nLikewise #death #cutting #despair,fear
#Aleppo city is burning. The head of #terrorism #Assad regime &amp; #Russia are bombarding the city right now with #whitephosphrus #bombs !,fear
#travelfail #virgin #virginaus and #etihad #nightmare ... And now we're also delayed. #obvs 🙄😠,fear
US you need to band together not apart #nevertrump he promotes hatred and fuels ,fear
@keyshamackie it's fucking dreadful for live footy matches,fear
and claimed that all of the same things could scare us\nbut we were tough because of ancestry,fear
"#Trump is #afraid of the big, bad #Hillary. #election #PresidentialDebate #PresidentialElection2016 #orangehitler #skip #hide #coward #fear",fear
"We, #Indians, can hold our heads up high and stay unafraid. The #UNGA is well-informed about #Pakistan's #terrorism business and deception.",fear
How I Murdered Your Mother #SpookyTv ,fear
#TerrorStatePak @sardesairajdeep Pakistan invitadated 4 times in India and why we worry to invade our own land #PoK?  Which is disputed.,fear
I'm literally never home and my parents threaten to charge rent if I don't start cleaning the house everyday. OK.,fear
@RogueCoder250 We are in so much trouble!! I don't think the Rev will see the funny side of our project. #nervous,fear
I'm just tryna watch horror movies and nap all day,fear
@jdwmaguire 'They will be a formidable challenge' Roy Hodgson on Northampton Town *shudders*,fear
"@TheMoosesAngel He looks down at his brother, a smile forming on his face. 'What? People fearing me?'",fear
Obama admin rejects Texas plan to have refugees vetted for terrorism so Texas pulls of of fed refugee resettlement program. Aiding #terror.,fear
At #UNGA Pakistan clearly shows the face of cowardliness and blatant lies! Its time for #India to act upon terror.,fear
ugh!! this is the worst!! i didn't read at all this whole first month of school and i have a unit test on friday!!! awe man!!,fear
The 2008 crisis was just the tremor In advance of the earthquake',fear
Ffs 🙈 when things come back to haunt you... cringe bad cringe 🙋🏼👀🔫 👈 what a terrible gun that is,fear
"Searching for someone to date ― on Tinder, at a bar, through friends ― can feel like an absurd nightmare. Or, at least, a series of",fear
"A country that gave safe house to #Osama Bin #Laden is dangerous if not contained. #Pakistan is a #terror heaven, declare so @BanKimoon_amdg",fear
If I could turn anxiety off--I would. #nooneunderstands ,fear
@noris_prosk8r2 (Maybe don't provoke him in the future if you do not want to run the risk of him punching your board.),fear
@KateyKeegan now I'm really excited for November! Hope they're not all horrid chavs though 😅,fear
@caeruleusV @Atheist_Penguin @misogynaut I threaten you because I can pussy,fear
Ready for my sweet princess to arrive. I'll he 37 weeks this Saturday! #excited #nervous,fear
jesus ok an alarming percentage of my teachers ths year dont have a  s ingle thoughtful bone in their bodies . its gonna b an interesting yr,fear
@Pamela_Moore13 @Ginlefebvre @BarackObama yes exactly &amp; he's sold out this country to #terror while #lying to cover it up,fear
@Bwana86 I can fear that someone is always following me everywhere I go. Does that make it true??,fear
@BoudicaRides @realkingrobbo Isn't that exactly what they should do? What took so long? He is more #afraid of #ClintonMafia than #Congress,fear
"Woke by #nightmare @ 3AM, couldn't sleep any more, so took a #UseAllTheHotWaterShower. Now I have time to read.",fear
