Tweet,label
Do you think humans have the sense for recognizing impending doom? ,pessimism
Making that yearly transition from excited and hopeful college returner to sick and exhausted pessimist. #college,pessimism
Ive felt surprisingly gloomy about my bad scouts today :'D but i recognize that it's all just RNG and yeah I didnt spend that many gems,pessimism
Brb going to sulk in bed until Friday,pessimism
It's way too hard not to get discouraged.,pessimism
"It'd probably be useful to more than women, but I'm dealing with re-reading an article about a woman being harassed on the subway. #concern",pessimism
I'm so bored and fat and full and ridiculously overweight and rolls galore ,pessimism
"Trumpism likewise rests on a bed of racial resentment that was made knowingly and intentionally, long before Trump got into politics.",pessimism
"In my room 101 would go  Russell Howard,Tom Odell,Michael Buble!!! #pants #nogood ",pessimism
@AzyraiZelo I am shy xD,pessimism
I came to work for no reason 😩🔫\nI could've stayed in bed,pessimism
@MatherFamilys @SDICenter @CAllstadt \n\ndo REDNECKS intellectually intimidate you and force you to be their dancing clown?,pessimism
Noooooo @GBBOUK without #MaryBerry will be #awful #endofanera going 2b so #lost @Channel4 have bought a #lameduck there #notallaboutthemoney,pessimism
God we need a new goal keeper! They’re both horrific.,pessimism
"@asda if I wanted GREEN POTATOES, a bottle with the tag still on, plus soaking wet items delivered - I'm winning today-sadly I didn't ",pessimism
wow almost all the T-Mobile stores in San Diego are out of Note7 replacements #sadness I need to get mine replaced,pessimism
"We're in contained depression. Only new economic engine is #Sustainability, say Joel @makower + @markmykleby @ #VERGEcon. #NewGrandStrategy",pessimism
@DepressedStride &gt; huff louder,pessimism
I don't want the pity of my instructors but I'd like some understanding. I'm truly trying despite ALL circumstances that make me discouraged,pessimism
*Sigh* #depression #saddness #afterellen #shitsucks,pessimism
i was so embarrassed when she saw us i was like knvfkkjg she thinks we're stalkers n then she starts waving all cheerfully inviting us in 😩,pessimism
"Wow... One of my dads top favorite throwback rappers just died in a fiery car crash today in Atlanta, so sad so sad 😷😷",pessimism
Rooney is 5 yards off the pace in a League Cup game against Northampton Town. Let that sink in for a moment. #MUFC,pessimism
@jeremycorbyn @magstogether my god is @jeremycorbyn a full shilling? Seriously you need a major rethink or no lab gove in your lifetime #sad,pessimism
@HoustonTexans just trying to go home tonight? A run on 2nd and 20 and a run on 3rd and 20? That's what champs do...#sike #losers #terrible,pessimism
@rosalilium I'm wearing all black tomorrow to mourn. 😭💔,pessimism
I meet new people and I had to grow up with the reality that people can be desgusting and fake and so I lost my cheerfulness and started to,pessimism
Urgent need to get a new job. The constant gloom of my current one is getting a bit ridiculous now.,pessimism
@ScmCIafIin 'Don't you know how nervous I was to see you?',pessimism
mmmm i'm kinda sad i hope i can shake this before school,pessimism
No one wants to win the wild card because you have to play the Cubs on the road.  #sadness,pessimism
Danish pastries...oh know my nightmare! Old boots is a good description #GBBO,pessimism
@mikefreemanNFL \nIsn't OBrien supposed to be some sort of offensive genius ,pessimism
"@MendipHillsAONB do we think the swallows and swifts have gone? Photo'd 3 nights ago, not seen since. #sad #Autumn",pessimism
Theyve substituted the hood for a badge and gun.' Public opinion is indictment of Charlotte police. #dark #sadtimes #america #race,pessimism
Wishing i was rich so i didnt have to get up this morning #poor #sleepy  #sad #needsmoresleep,pessimism
"Honestly don't give af who wins out of us and pine, I'm just worried about getting drunk Saturday night😂",pessimism
@patienceinbee @camposanto But I decided to be a bit lackadaisical about getting dressed to get groceries.,pessimism
@siomo @NEWSTALK1010 20 says he gets reelected.....  #be #afraid,pessimism
I'm scared that my coworkers are going to submit me to one of those 'wardrobe makeover' shows.  #fashion,pessimism
@RevTrevK @Wolfman93011 @Daraidernation @EROCKhd Take 2k out of it the numbers on madden are low and have dropped and people are unhappy,pessimism
Grim and despair feeling-I look at self and my family. Hubby fought 20+ years for this country. I've worked 20+ years for this govt--&gt;,pessimism
@mackenzian yes! That was my one qualm. These are deeply theological issues we're engaging theologically.,pessimism
"#COINCIDENCE??? When you turn on the TV, etc.&amp; listen &amp; watch, the objective is to #CaptureYourMind with #fear &amp; #depression. #FindGODNow!!!",pessimism
When will the weeks full of Mondays end?? #disheartened,pessimism
Feeling #gloomy,pessimism
@MintMilana where is the outrage when black children get killed in the crossfire between blacks shooting each other?,pessimism
nooooo. Poor Blue Bell! not again. #sad,pessimism
"If you think you're good to go already, don't worry about it.",pessimism
"Wine drunk is the worst version of myself ffs, don't even remember seeing basshunter ",pessimism
That feeling you get when you know the information but scared you might do bad on a test #collegelife #nervous 😥😥,pessimism
Always borrow money from a pessimist; he doesn't expect to be paid back.,pessimism
Condolences to the  JC and the Georges family.. ,pessimism
"@NigeriainfoFM #start football league, I think we should talk about the managers way of selection",pessimism
I feel like an appendix. I don't have a purpose.  #depressed  #alone #lonely #broken  #cry #hurt #crying #life,pessimism
#TerrorStatePak @sardesairajdeep Pakistan invitadated 4 times in India and why we worry to invade our own land #PoK?  Which is disputed.,pessimism
When you have 15 doe run the opposite side of you 🙁 #depression,pessimism
"A pessimist sees the difficulty in every opportunity, an optimist sees the opportunity in every difficulty' -Sir Winston Churchill-",pessimism
@MarianKeyes maybe he had constipation issues..? Not that I KNOW dates relieve such an affliction! No way jose!,pessimism
"AQW should've always stayed in the 08 art style, now it's just a competition to create more detailed art each time.",pessimism
"@paige_christian awe man, when are you free then? ☹️️☹️️☹️️💘💘💘",pessimism
@KurakkuSora he is.\nSure his mind was clouded but...],pessimism
The 2008 crisis was just the tremor In advance of the earthquake',pessimism
Once again the only thing on my feed is naay raging about something and my brother filling in all the gaps,pessimism
#haikuchallenge #haiku\n\nThe crisp autumn air\nMy freedom purchased through death\nNo one will mourn me,pessimism
I honestly feel nothing towards either of my parents and it's pretty depressing,pessimism
"god, Facebook's design has started to remind me of MySpace in its heyday",pessimism
"@comicfire The thing is, it's either I be unproductive and unhappy, or deal with some videos that do badly.",pessimism
@WHUFC_HUB @westhamtransfer @TheHammers_ I don't see any reason for optimism at this point. Just stringing together bad performances.,pessimism
"2 biggest fears: incurable STD's and pregnancy...I mean, they're basically the same thing anyway #forlife #annoying  #weirdsmells",pessimism
India wants to #shake #hands with # pakistan ..... but as usual pakistan #cheat with every #indian \n\n..........shameless pakistan,pessimism
@theurbanologist the tunnels! I shudder to think of the grimy tweets...,pessimism
😑😑😑&lt;---- that moment you finish a Netflix series and have nothing else to watch. #depression,pessimism
"@Slippus @PureGym  yeah I received a fine today which I am furious about, currently appealing it after being a member for so long...",pessimism
"And btw... I really did stay in bed all day today. #depression I hate being lied to, fuck liars. -w-",pessimism
"Don King...his actions really sadden me today...the word 'may not' have the same power to all as it once did, I still cringe when i hear it",pessimism
"With only 7 months left until I possess my undergraduate degree, I feel like I can't handle adulthood anymore #anxiety #nojobsinbiology",pessimism
The joyful tambourines have ceased. The noise of the jubilant has stopped. The joyful lyre has ceased. -Isaiah 24:8,pessimism
"my boyfriend once forcibly stopped all of my anxiety coping methods at once (holding me, forcing my hands down that kinda stuff) and I --",pessimism
"No #gbbo from us tonight sadly, we've got a date with some nachos @ODEONCinemas #BridgetJonesBaby",pessimism
@sphiwememela...its bad.I am fearing for my life🙏,pessimism
@KatHeartwell some don't see the difference between courting and appealing to a women vs deception &amp; pressure it's depressing,pessimism
So grim being up at 6,pessimism
"I miss my gran singing Rawhide, in her deep baritone growl.",pessimism
two major banking stocks down almost 15 to 20 % from their highs while benchmarks still close to top it is a sure #worry for markets,pessimism
@ducktapepr @midnightaction @juliea592 @catherinerusse2 I dread to think... #DirtyPeople,pessimism
"@mehnazt @Mel_Harder I live a life devoid of mirth. Come to think of it, there aren't enough taco bowls in my life, either.",pessimism
"Maybe I'm too cynical for my own good, but I'm afraid, this is the only way to understand Nigeria.",pessimism
Love this! Laughing while crying works too! #katherinemansfield #failure  #dealingwithfailure,pessimism
ya boy gets mad tired of pine trees,pessimism
I've realized my anxiety is at an all time high when I'm in my office. I feel prisoned here and I pick up on bad energy.,pessimism
"@AlamRahman today which can impact the signal, I'm afraid :-( Our engineers are working to have this resolved by this evening and you'll",pessimism
#Scorpio always seek revenge!,pessimism
Stupid people piss me off...busted my ass...and my coworker takes off with all the tips...thnx for nothing  #thatsmyluck,pessimism
Job interview in the afternoon #nervous #ek,pessimism
"They'll be yo friend, shake your hand, then kick in yo door thas the way the game go🤖🤐.",pessimism
So depressing that it's darker so much earlier now,pessimism
"@msfang they say you attract what you see, maybe I shouldn't be a pessimist but I don't wanna take any chances lol can't wait to relocate",pessimism
"@SaraLuvvXXX : Whaaaat?!? Oh hell no. I was jealous because you got paid to fuck, but this is a whole new level.  #love #conflicted😬",pessimism
some of the casuals tweets that Vic has faved are making me gag ,pessimism
Well my evaluation came back and i am minimally effective. Student test scores on the PARCC sunk my eval. it's time for me to quit teaching,pessimism
@HotRodArchie @qadkins79 I have noticed since #HillarysHeath has become an issue the left is going full panic mode. #NTAC,pessimism
ok so i got my madden 17 refunded but now i gotta wait a few days for the money and now gotta pre-order fifa again....,pessimism
Nobody wants a grouch but DONT move to SD if you want to be a rapper. #serious,pessimism
@AldiToHarrods I'm still too nervous to try it. I need to man up and give it ago.,pessimism
"- blood and mucus and he chokes and has to swallow, mirth cut too short. 'Wrong answer.' It takes some awkward movements - @PersuasiveFuck",pessimism
"@MHChat if we don't understand how to express our emotions to others, may lead to sadness / loneliness &amp; neg impact on long term mh #MHChat",pessimism
@JlKelly1 @FJ_Berry I've got #teampaella presents on their way for you and Fi but I don't think they'll arrive by Saturday sadly!! ;),pessimism
"A cheerful heart is good medicine, but a crushed spirit dries up the bones. A wicked man accepts a bribe in secret to pervert  justice.",pessimism
@Ashleyavitia_ don't leave me #sad,pessimism
Honestly don't know why I'm so unhappy most of the time. I just want it all to stop :(   #itnevergoes,pessimism
@CTV_PowerPlay @lraitt Horrid disease! My maternal grandmother and each of her sisters suffered from this affliction. It's hard on all.,pessimism
@Barcabhoy1 Of course not. Didn't sink his studs into a knee like Forrester,pessimism
