Tweet,label
it's pretty depressing when u hit pan on ur favourite highlighter,sadness
Making that yearly transition from excited and hopeful college returner to sick and exhausted pessimist. #college,sadness
S/O to the girl that just hit my car...not only did she get lucky w/ no scratch but also from being spared the wrath of sleep deprived Kait🙃,sadness
People you need to look up the definition of protest. What you are doing is not protesting is called vandalism. #angry #stop,sadness
Star trek online has a update to download oh fuming yay,sadness
i cant stop. i finished - dejected. luckily no one is in the bathroom. so i go to a stall and wait until my pants are dry.,sadness
#NewYork: Several #Baloch &amp; Indian activists hold demonstrations outside @UN headquarters demanding Pak to stop exporting #terror into India,sadness
@zorefx you guys will see what i did in the next video but its fucking horrid,sadness
@RogueCoder250 We are in so much trouble!! I don't think the Rev will see the funny side of our project. ,sadness
@Jen_ny69 People will always get offended everyone's situation is different! Just because we have kids doesn't mean we have to settle,sadness
All the young people are so bitter about how the older contestants probably know how to make Bakewell Tarts 😂 #GBBO,sadness
Living with #depression doesn't mean you must be defeated by it\nevery day's a new day and yesterday doesn't decide what today looks like :-),sadness
"He accusd India of HR violations in Kashmir BUT refusd to name India's role in fomenting terror in Pakistan through TTP, BLA &amp; MQM.shame #ZH",sadness
I was so shy freshman year this guy introduced himself to me by asking if I spoke any English,sadness
"It’s possible changing meds is best not done while under stress. Difficult to tell what part of despair is circumstantial, what is drugs.",sadness
Ive felt surprisingly gloomy about my bad scouts today :'D but i recognize that it's all just RNG and yeah I didnt spend that many gems,sadness
In dire need of a worship session to just let go of everything,sadness
Brb going to sulk in bed until Friday,sadness
@Bridget_Delia @originalaubs omg that's terrible,sadness
It's way too hard not to get discouraged.,sadness
@JaredWyand Maybe if it was transgender the media would cover it #outrage,sadness
Since the 'update' my @iPhone loses power nearly 40% faster. ,sadness
@onefumi oh I see. I've seen so many people mourn the loss that I was surprised to see your tweet. I suppose same old here in SA,sadness
@SkyUK what a joke!! Cut our internet off early 'by mistake' and then don't reinstate it when we no longer need an engineer 😡 ,sadness
so gutted i dropped one of my earrings down the sink at school,sadness
I'm so bored and fat and full and ridiculously overweight and rolls galore ,sadness
Soooo badly want to dye my hair dark but have never been dark before soooo torn 😭😭😭,sadness
@DeltaAssist Tried 2 get earlier flt 2day  @BWI Turnd away bcuz it was 2 late Then agent let other pas on #silvereliteleftbehind ,sadness
@matthew_meadows Since it's a friend of Pereg's I don't want to offend :) #Peace,sadness
"@antoboyle I so wish you could someday come to Spain with the play, I can't believe I'm not going to see it #sad",sadness
@VectoneMobileUK The worst customer service and lack of professionalism from this service provider! #phoneprovider #badbusiness ,sadness
I had really strange and awful dreams last night. I'd didn't even eat cheese before bed  #lovemysleep,sadness
Brad Pitt being investigated for child abuse?! this all just got really #dark,sadness
"@healeyraine I'm offended, I actually am",sadness
"In my room 101 would go  Russell Howard,Tom Odell,Michael Buble!!! #pants #nogood ",sadness
Gaaaaaaaad! Should have stayed in London!,sadness
@m_giacchino will this be aired on radio or filmed? Lots of fans over the pond too! #wales #lost,sadness
"#PeopleLikeMeBecause they see the happy exterior, not the hopelessness I sometimes feel inside. #depression  #anxietyprobz",sadness
@jamiesmart Huh! It's always my fault isn't it &gt;:( #huff #sulk,sadness
@StarklyDark 'I know you trusted me.' His words were soft as he ignored the anger and focused on the hurt beneath. 'I know I screwed up.' --,sadness
My fav #movies are #horror but they don't make them like they used too. Haven't seen a great one in years,sadness
"James: no 500k, no 50k, no 25k, no 10k. You fucked up. #bb18 #bitter  #shouldofVotedforNicole",sadness
@AzyraiZelo I am shy xD,sadness
I came to work for no reason 😩🔫\nI could've stayed in bed,sadness
"Sometimes I like to talk about my sadness.  Other times, I just want to be distracted by friends, laughter, shopping, eating...  \n\n#MHChat",sadness
"#PeopleLikeMeBecause they see the happy exterior, not the hopelessness I sometimes feel inside. #depression #anxiety #anxietyprobz",sadness
@maggyvaneijk Old age?! No hope for the rest of us. Destined to become deatheaters by 50 #nightmare,sadness
"@asda if I wanted GREEN POTATOES, a bottle with the tag still on, plus soaking wet items delivered - I'm winning today-sadly I didn't ",sadness
wow almost all the T-Mobile stores in San Diego are out of Note7 replacements #sadness I need to get mine replaced,sadness
I am worried that she felt safe. #unhappy,sadness
@DaltonRapattoni sadly i have to go to bed now don't announce anything while i'm gone thank u i love you,sadness
"We're in contained depression. Only new economic engine is #Sustainability, say Joel @makower + @markmykleby @ #VERGEcon. #NewGrandStrategy",sadness
@DepressedStride &gt; huff louder,sadness
*Sigh* #depression #saddness #afterellen #shitsucks,sadness
@Evan_McMullin He's spent his campaign dividing people up and pitting them against each other. His message is to fear and resent the 'other',sadness
@_MariaPetrova should have stopped after 'smiled'. Being rude=not the same as being funny.It was just being mean #bully  #stoppickingonwomen,sadness
Summer officially ends today. #sadness,sadness
