Tweet,label
"He accusd India of HR violations in Kashmir BUT refusd to name India's role in fomenting terror in Pakistan through TTP, BLA &amp; MQM.shame #ZH",surprise
@Kristiann1125 lol wow i was gonna say really?! haha have you seen chris or nah? you dont even snap me anymore dude!,surprise
@JessicaZ00 @ZRlondon ditto!! Such an amazing atmosphere! #PhilippPlein #cheerleaders #stunt #LondonEvents #cheer,surprise
"It'd probably be useful to more than women, but I'm dealing with re-reading an article about a woman being harassed on the subway. #concern",surprise
@onefumi oh I see. I've seen so many people mourn the loss that I was surprised to see your tweet. I suppose same old here in SA,surprise
Watch this amazing live.ly broadcast by @matt.boss  #musicallyjh,surprise
#GetSmartWithARQ is a smart way to start investing and #whiteicenetwork is smart source 2 #start #skilled #manpower #recruitment for ur firm,surprise
"This night is sparkling, don't you let it go! I'm wonderstruck, blushing all the way home..' #ValerieBot",surprise
"@asda if I wanted GREEN POTATOES, a bottle with the tag still on, plus soaking wet items delivered - I'm winning today-sadly I didn't ",surprise
@airvistara as always it was indeed a wonderful experience flying with you guys today #bestinbusiness #delight #happyme,surprise
"As your own lives in order to complete our amazing life journey successfully, it is there. ",surprise
Whatt a trailerrrr !!! @karanjohar @AnushkaSharma #RanbirKapoor #AishwaryaRaiBachchan i am COMPLETELY BLOWN !! #awestruck #longingformore,surprise
Just told me wife there was a chance it would be 2 Sydney teams in AFL grand final. Her response: 'there's two SYDNEY AFL teams?' #serious,surprise
Why is it so windy? So glad I didn't ride my bike. #fear #wind,surprise
"@noveliciouss OMG, that's such a beautiful quote.  #amwriting",surprise
"@samsteinhp stop the presses, @realDonaldTrump said/proposed something racist. #shocking",surprise
The difference between someone's selfies when they're happy vs. unhappy is absolutely amazing.,surprise
@aidankerrpol I think you should do. Get the fashion police involved. #shocking,surprise
Congress attended by midterm liveliness differently constraints: qmiv,surprise
Rojo is shocking.......absolutely shocking !!!,surprise
@JensenAckles @jarpad whatever Sam is holding on your tee looks like it's got a droop on 😂,surprise
"Turkish exhilaration: for a 30% shade off irruptive russian visitors this twelvemonth, gobbler is nephalism so...",surprise
@EmmyMitchell_  hahahaha you're ridiculous!!! But thank you a joyous evening xx,surprise
Pull over #tonight and make your car #shake 😋💦,surprise
".@monsoonuk Ordered before 10pm last night, paid for next day. Didn't bother to fufill order. Now 14 working days for a refund! #shocking",surprise
"If her legs aren't shaking, you're not doing it right.",surprise
10 page script due Friday for class. Who said I could do this MFA thing?  #GradSchoolProblems #someonetelltinafeytohireme,surprise
Riggs dumb ass hell lolol #hilarious #LethalWeapon,surprise
there’s shaytan in this room wallahi its been dark all the time now the lamp is on!! omg shaytan,surprise
@beautyfulli_ami that guy in the back of your picture is hilarious,surprise
Watching It Follows.  This is a super freaky movie.  #horror #scary,surprise
"Coworker: 'That happened to a friend of mine once, but with guns instead of babies.' #workplace ",surprise
#tulsa - Police manufacture murder... Wonder why we carry burners...? - MaxLevelz ,surprise
Are you serious??,surprise
@LmRyle @tomcolicchio @realDonaldTrump @HillaryClinton @ajjaffe I understand your concerns but look at her foundation contributions ,surprise
@beingbrilliant @johnmurrays you're welcome. It's genuinely made me give my head a wobble and realise what's important in life. ,surprise
"@ScottiePass shock horror handicap dodger is at the top 😂 close on the agg cup good , but think pressure will get to mark🤔",surprise
Might start stanning Lady Gaga again - more so than last time - but shhh don't tell Connor,surprise
"@JimRichMoriarty + I am in your life! *He yells* Surprise, surpriiise! *He chirps cheerfully, with a wicked grin on his lips*",surprise
@marthalyssa yep. LOL #bitter,surprise
@ibishotelsuk @ibisHotels_FR @ibishotelbr @ibishotel @ibishotelBDG @ibishotel1 to give me my keys back. They aren't for my house! #shocking,surprise
"@PAKallman If you get it going with him, tag me the link please. I have a lot of friends who love following his unintentional hilarity.",surprise
Woah. That overtime was exhilarating! Out of my seat and the hands on mackinnon wow #WCH2016,surprise
@MisterAK47 it's very telling that racist bigots always resort to the insult 'fag' like that's worse than being a racist bigot.,surprise
okay false alarm it's working again,surprise
Omg I actually thought she was going to jump.  #SouthPark20 #southpark,surprise
Watch this amazing live.ly broadcast by @kelli.peterson #lively #musically.   Come WATCH,surprise
"I truly feel like science has the ability to make a milk out of anything ... cashew milk, hemp milk, pine nut milk, dandelion milk",surprise
The neighbor dancing in the Clayton Homes commercial is me. #hilarious,surprise
On the last episode of #MakingAMurderer poor Brendan glad they #appeal it #shocking #crime #documentary #reallife,surprise
Candice on great british bake off with that pout does my head in 👊🏻🙄,surprise
Popufurs make posts like 'opening commissions in an hour get a slot while you can' and I'm like sitting here in awe at that sort of demand,surprise
I've got some new pens to break in. Name an animated series and I'll draw you in that style 🖍,surprise
@sidviyer uff!! Look at your Arsenal fans cheering for every goal against United. haha,surprise
whats with these boxes when i search google on chrome  #distracting,surprise
"Like, 'loon attic'. Luckily it quickly sunk in that it was the wrong pronunciation, but I still couldn't stop saying it. It just stuck.",surprise
Omg he kissed her🙈  #w,surprise
@Trump_Videos she looks completely #rabid @realDonaldTrump,surprise
@SkySportsRL i would just get some decent referees #shocking,surprise
Watch this amazing live.ly broadcast by @jaredhorgan  #musically,surprise
@caIrissian take deep breaths bc the shaking could be from adrenaline. Oh wow that's weird. Depending if you're regular or not that varies-,surprise
Folk Band 'Thistle Down' will be replaced by 'The Paul Edwards Quartet' at Laurel Bank Park Sat 24 11am - 3pm due to ill health #jazz #blues,surprise
"@Berbaqueue @_indubioproreo shocking work ethic by our players, Rooney stifled by their laziness",surprise
@Briardpup @dogworldnews Did they get the wrong fur Pal? #shocking 😱,surprise
"I need to think of a new Avatar for Fire Emblem Revelation as I might start playing it soon, any ideas for names? What gender do I choose",surprise
@TheBadgerBoy check out the article on @SaintSkipper5 on @dailyecho #shocking,surprise
No red card for Gordon there? The ref must be a Celtic fan as that was a shocking challenge.,surprise
@KarenL109 replace the carpet!! #shocking !!!!,surprise
@PearseDoherty @harrymcgee @IrishTimes That might sting for a bit lads but you'll get over it.     #betterwithsinnfein,surprise
@FieldYates @MatthewBerryTMR @Stephania_ESPN @MikeClayNFL @FrankCaliendo goddamn...the 'celebrity' draft at the end was classic. #hilarious,surprise
Yo there's a kid on my snap chat from LA &amp; they get high off helium gas lmao.... I am like why the fuck lol,surprise
@TheDappaMc also £2.50 for a chocolate Feast ice lolly.. proper shocking 😩,surprise
@RussiaInsider Really sad &amp; surprising. 1 side #Russia fighting against #IS &amp; on the other supporting #Pak which is epic centre 4 ,surprise
My husband found out there are other rabid hockey fans like me as we waited in line 4 of the 6 window stickers were for SJ NHL/AHL hockey.,surprise
@Rovers what highlights ? I would imagine you will only have 30 seconds of highlights for the whole season so far #shocking. #venkysout,surprise
"Hello fellow #horror #creepy #dark #stange #story fans, how's your day? #followme and I'll #followback",surprise
"@Policy_Exchange A plus point, she won't have to queue for the loos. Any more plus points? Nope, can't think of any #shocking #sexism",surprise
Watching Paranormal Activity: The Ghost Dimension. I'm not sure how I feel about it yet. ,surprise
"It's not that the man did not know how to juggle, he just didn't have the balls to do it. \n#funny #pun #punny #lol #hilarious",surprise
Crossfit houston-la homefolks as for spry proprieties regimes: AJaFUE,surprise
I'm not used to pretty girls that use curse words to express their anger. I just feel like I'm a little bit surprised and turned off as well,surprise
"I'm sorry but since when is an #indiegames #DLC worth nearly £130 that's just plain lunacy when the game itself is £20odd, #astounded 😱",surprise
"@samvirwin fancy! I have some of those and I have never put them up, I should do that. Also, I vote jaunty angles then no one will judge",surprise
@Piggiewhopays lmao! I can only imagine the frown across that face of yours. #Hilarity,surprise
"why is @Iongroadhome so aesthetically pleasing every single day they're even pretty when they just woke up, when they're tired, just. always",surprise
Like hello? I am your first born you must always laugh at my jokes. ,surprise
"@MoneyJay901 hard to tell in your pic. My mistake then. Either way, nothing I said initially was about race. U took it there.  #ignorant",surprise
@AdamSinger bubble implies it will burst?,surprise
"When you wake up from a dream laughing at something stupid, and that makes you laugh more ",surprise
"That's me for the evening, though! Way too lit to finish these off properly without causing some serious mischief.",surprise
Watch this amazing live.ly broadcast by @rosannahill  #musically,surprise
@RealTimBooth I've never been fond of having dark eyes until seeing this share.,surprise
"@NGilbert92 @_c0urtknee_ haha it's me, shocking I know 😂 you'll hear me moan I'm too cold in winter ⛄️",surprise
@thixotropic No. Was so sudden. Hasn't sunk in yet. With Leo I knew it was coming.,surprise
@AdoreDelano ill be there... with VIP TICKETS! Can't wait to meet you. Never met a famous person i admire before! #nervous,surprise
McDavid breakaway. Lundqvist with a tremendous save.,surprise
It really is amazing the money they give to some of these QB's #nfl #texans #brock ,surprise
What do you do?'\n'You are not worthy enough to know.' #what #serious,surprise
10 minutes with an incense and all I get is 2 Rattatas. 😂#PokemonGO,surprise
You don't know what to expect by Brendon's video lmao LA devotee video got me shook ,surprise
Unruly kids at 8am in the morning #nothanks ripping the flower beds up by the roots while their parents watch #shocking,surprise
@Wild_Lucario_ *chuckles* did I scare you?,surprise
Ronaldo has been shocking. He's tried to do skill twice and he's nearly fallen over both times,surprise
gifs on iOS10 messaging app are hilarious.,surprise
"@MeghanEMurphy Oh gosh, if you get 800+ raging comments from cruise fans, I will just die laughing!",surprise
@jtkola @danmericaCNN she's still younger and more spry than trump,surprise
did you know that the sparkling letters in Super Mario Galaxy spell out U R MR GAY,surprise
lol! no mention of pak PM or even his speech on any international news channel and pakis are rejoicing as if the world stands with them,surprise
@AnjiDunlap droop in leggings? Are they wearing XXXL?,surprise
Ok but how are the fast &amp; furious movies NOT classified as comedy's? 🤔,surprise
@RonBaker6694 I got a super speeder and lost my license for 6 months! 😩🔫,surprise
"I like the commercial where @kohara19, on a chocolate milk bender, steals a soccer ball from some guys and refuses to give it back. #bully",surprise
"Does this blow your mind as much as it blew mine, or did I just sexually harass someone? #WHOA #Mindblown #huh #setback #fright #madashell 😂",surprise
It's weird because I was discussing sex resentment and confusion in the thing I was writing last night.,surprise
@ZachZaidman  shocking,surprise
Look forward to the detours because they bring delightful surprises. #lifequote #delight,surprise
Watch this amazing live.ly broadcast by @thebrandonrobert  #musically,surprise
@EASPORTSFIFA EA sports technical support team really suprised me 😊 SUPRISED ME AT HOW SHIT THEY WERE ,surprise
Changing my hair again #shocking,surprise
I'm in awe,surprise
"Sharpened a pencil today, haven't sharpened once since 1999. ✏️ ",surprise
Rooney shocking attempted cross,surprise
I am in #shock and #awe and the places my #toddler manages to get his dinner.,surprise
#ukedchat A4 Just go outside (or to the gym hall) and play! \n#education #playful #learning,surprise
Food that gets delivered 😍🙌🏻 #cheering #happy,surprise
I'm so confused by the new American horror story 😩,surprise
#tulsa - Police manufacture murder... Wonder why we carry burners...? - MaxLevelz #shake,surprise
"@Mc_Cabe_Conor This is it. The complete illiteracy around the role, nature and extent of British agents is shocking.",surprise
